epoch,train_loss,val_loss
1,0.19525005596876144,0.17494894850712556
2,0.19443776720762254,0.17493859907755485
3,0.19401660233736037,0.17313872736233932
4,0.19316132044792175,0.171188622713089
5,0.1922446892261505,0.17358166896379912
6,0.19043523198366166,0.16766129663357368
7,0.19174741154909133,0.1743732260969969
8,0.18917196452617646,0.17144818718616778
9,0.1881194732785225,0.17412596482496995
10,0.18752309089899064,0.17098100655353987
11,0.1845442734360695,0.17380586495766273
12,0.18306427425146102,0.17163989750238565
13,0.1810340914130211,0.17291840624350768
14,0.18053797900676727,0.17199557446516478
15,0.17560475468635559,0.17256491917830247
16,0.175776737511158,0.17678996576712683
17,0.1770851487517357,0.1681772252688041
18,0.17156109368801117,0.16612917299454028
19,0.1722895466685295,0.1748281052479377
20,0.17091935616731643,0.16977624939038202
21,0.1655138976573944,0.16995144005005175
22,0.1630713742375374,0.16746766005571073
23,0.16031270802021028,0.17450596850651962
24,0.1572583694458008,0.17072788052833998
25,0.15774354714155198,0.16525569902016565
26,0.15502037000656127,0.16228841703671676
27,0.15720715034008026,0.17044980365496415
28,0.1534333662390709,0.1696721538901329
29,0.153234714448452,0.1685275836632802
30,0.1531311643719673,0.15727325127674982
