epoch,train_loss,val_loss
1,0.09434080243110657,0.07595958073551838
2,0.0821925690472126,0.07086041712990174
3,0.0781742003262043,0.06811288113777454
4,0.07631103233993053,0.06765770310392746
5,0.07475925213098526,0.06694635634238903
6,0.07435859227180482,0.06501557749624436
7,0.07299777284264565,0.06493541283103135
8,0.07224909675121308,0.06327916395205718
9,0.07225117024779319,0.06364581160820447
10,0.07086650249361992,0.06296867562028077
11,0.07037278673052788,0.06245952300154246
12,0.07016149675846099,0.06250877707050397
13,0.0700940263569355,0.06214764341711998
14,0.06911418423056602,0.06282231183006214
15,0.06862843173742295,0.06107357459572645
16,0.06846095472574235,0.06151646490280445
17,0.06803638944029808,0.06281269055146438
18,0.06782174330949783,0.06109620888645832
19,0.06744209140539169,0.06046121008694172
20,0.06693484234809875,0.059846466120619043
21,0.06711121824383735,0.06023781546033346
22,0.0664100211262703,0.060687506141570896
23,0.06737372428178787,0.060396673587652355
24,0.06635249361395835,0.05955716781318188
25,0.0658077003955841,0.0602190331197702
26,0.06589264717698097,0.059202986841018386
27,0.06584212675690651,0.05980346323205875
28,0.06551583656668664,0.05903921992732929
29,0.06510950908064843,0.06004981925854316
30,0.06608661964535713,0.05876643497210283
