epoch,train_loss,val_loss
1,0.1832480994462967,0.14783965108486322
2,0.1603569600582123,0.14658736838744238
3,0.15651636177301406,0.1432453812314914
4,0.15166236513853074,0.1403929373392692
5,0.14894334638118745,0.12836595051563704
6,0.145550999045372,0.134311148753533
7,0.14096582865715027,0.128251307285749
8,0.13978157311677933,0.1275888320345145
9,0.14206744676828384,0.1233690558717801
10,0.1403514650464058,0.12362166150258137
11,0.13735835134983063,0.12009494235882393
12,0.1362867804169655,0.1237740906385275
13,0.13655733287334443,0.12308840224376091
14,0.13608464169502257,0.11913108711059277
15,0.13174258518218995,0.12014480107105695
16,0.13201769924163817,0.12111703249124381
17,0.12984036499261856,0.12248394409051308
18,0.1305116818547249,0.11757247207256463
19,0.13009890270233154,0.11391890507477981
20,0.12913300412893294,0.11443785864573258
21,0.12763286834955215,0.11446791428786057
22,0.1254966658949852,0.11475293911420383
23,0.12624460917711258,0.11437243395126782
24,0.12478671699762345,0.11446054852925815
25,0.12468158292770386,0.1123689808524572
26,0.12557086646556853,0.11889512779620978
27,0.12607339489459993,0.11341846791597512
28,0.12381042498350144,0.1194874495267868
29,0.1231552807688713,0.1147450844828899
30,0.12105015552043914,0.11364234296175149
